PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,USG_PCT,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,TS_PCT,EFG_PCT,AST,TOV,AST_PCT,AST_TO,TM_TOV_PCT,REB,OREB_PCT,DREB_PCT,OFF_RATING,DEF_RATING,NET_RATING,PLUS_MINUS,PIE,PACE,VOLUME_SCORE,FG3A_RATE,FTA_RATE,EXPECTED_TS,TS_ABOVE_EXPECTED,TS_PCT_SCALED,TS_ABOVE_EXPECTED_SCALED,EFFICIENCY_SCORE
1641740,Jaylen Clark,MIN,24.0,68,13.1,0.126,4.0,1.5,3.4,0.434,0.5,1.5,0.327,0.6,1.0,0.657,0.534,0.507,0.6,0.3,0.064,1.87,7.1,1.8,0.056,0.069,113.0,108.9,4.1,1.1,0.054,103.47,13.8,0.4411764705882353,0.29411764705882354,0.5917825190186491,-0.05778251901864906,0.32000000000000006,0.2931242837324102,30.9
1642377,Jaylen Wells,MEM,22.0,69,26.4,0.189,12.5,4.4,10.1,0.431,1.9,5.3,0.353,1.9,2.5,0.784,0.559,0.524,1.6,1.1,0.085,1.5,7.8,3.2,0.031,0.086,113.4,117.8,-4.4,-2.6,0.069,102.14,41.0,0.5247524752475248,0.24752475247524752,0.5753785499712547,-0.016378549971254652,0.39142857142857146,0.4308171987196565,40.7
1631119,Jaylin Williams,OKC,23.0,65,19.7,0.153,7.2,2.3,5.4,0.423,1.5,3.9,0.383,1.1,1.4,0.793,0.597,0.563,2.4,1.0,0.169,2.36,10.9,5.5,0.025,0.225,114.6,103.1,11.5,4.7,0.115,102.17,24.1,0.7222222222222222,0.25925925925925924,0.5801415434416561,0.016858456558343837,0.5,0.5413500877108524,51.7
1642281,Jaylon Tyson,CLE,23.0,66,26.9,0.189,13.2,5.0,10.2,0.493,2.0,4.5,0.446,1.2,1.6,0.738,0.608,0.592,2.2,1.5,0.115,1.48,10.3,5.1,0.064,0.118,117.0,113.4,3.6,1.7,0.092,101.39,39.8,0.44117647058823534,0.15686274509803924,0.5586460243811076,0.04935397561889243,0.5314285714285714,0.6494170882041816,57.9
203924,Jerami Grant,POR,32.0,57,29.7,0.228,18.6,5.8,12.8,0.453,2.4,6.1,0.389,4.6,5.6,0.814,0.608,0.547,2.1,2.1,0.107,1.03,10.8,3.5,0.03,0.082,114.9,115.2,-0.3,-0.1,0.094,104.02,55.2,0.47656249999999994,0.43749999999999994,0.6077783905202371,0.00022160947976290757,0.5314285714285714,0.48602263908329085,51.3
1642847,Jeremiah Fears,NOP,19.0,82,25.8,0.245,14.3,5.3,12.3,0.434,1.2,3.7,0.33,2.4,3.0,0.789,0.525,0.485,3.4,2.2,0.195,1.57,11.3,3.7,0.026,0.109,111.8,118.2,-6.4,-3.5,0.093,102.98,52.4,0.30081300813008127,0.24390243902439024,0.5701681191529911,-0.045168119152991126,0.29428571428571426,0.3350746940017483,31.1
1630526,Jeremiah Robinson-Earl,DAL,25.0,22,16.4,0.129,4.6,1.7,4.5,0.37,0.5,1.9,0.244,0.8,0.8,0.944,0.468,0.42,0.7,0.5,0.057,1.25,9.0,4.7,0.088,0.183,109.3,119.5,-10.2,-3.9,0.069,104.82,13.6,0.4222222222222222,0.17777777777777778,0.5693475073486911,-0.10134750734869108,0.13142857142857145,0.14824468951567282,13.8
1630579,Jericho Sims,MIL,27.0,67,19.7,0.095,5.0,2.2,2.8,0.784,0.0,0.0,0.0,0.7,1.1,0.62,0.772,0.784,1.6,1.1,0.109,1.39,19.0,5.5,0.115,0.171,110.3,120.3,-10.1,-4.1,0.083,97.72,13.0,0.0,0.3928571428571429,0.6172264824251257,0.15477351757487434,1.0,1.0,100.0
1641724,Jett Howard,ORL,22.0,55,12.6,0.166,5.5,1.9,4.6,0.418,1.0,2.6,0.372,0.7,0.7,0.949,0.561,0.526,0.8,0.3,0.095,3.0,4.6,1.6,0.03,0.096,112.6,118.1,-5.5,-1.3,0.07,100.55,18.6,0.5652173913043479,0.15217391304347827,0.5593744802698586,0.001625519730141467,0.39714285714285724,0.49069147879123826,43.5
1628975,Jevon Carter,ORL,30.0,53,16.4,0.166,6.4,2.3,5.8,0.401,1.5,4.1,0.363,0.3,0.4,0.789,0.537,0.528,1.6,0.7,0.148,2.42,8.2,1.7,0.015,0.085,110.0,115.6,-5.7,-1.6,0.074,101.62,21.9,0.7068965517241379,0.06896551724137931,0.5424467863949083,-0.005446786394908254,0.32857142857142874,0.4671718388039328,38.4
